,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,cp.entity_embedder.regularize_weight,cp.relation_embedder.regularize_weight,cp.entity_embedder.dropout,cp.relation_embedder.dropout,KvsAll.label_smoothing
10,10,10,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0087467364378386,10,0b935f4a,256.0,Adagrad,0.0016708058257819,2.0,256.0,xavier_uniform_,0.0041486210907091,-0.5455283558936044,lp,False,0.0001391739455867,8.345182444420151e-12,-0.1230527237057685,-0.3301922269165516,0.075582904368639
11,11,11,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,205,,,,mean_reciprocal_rank_filtered_with_test,0.2626244998841602,11,1aec1f29,512.0,Adam,0.0462863475371769,6.0,128.0,xavier_normal_,0.0001097435546678,-0.4148113322242256,lp,False,1.2361954062556255e-09,2.912979817211977e-17,0.0375335048884153,0.2708112671971321,0.0221916502341628
12,12,12,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0039252549588323,12,b48be645,256.0,Adagrad,0.0034765263453477,4.0,64.0,uniform_,0.0409424975029653,-0.911579309421992,lp,True,1.2868534191599905e-15,0.0036478483475418,-0.3429812947288155,-0.4764692215248942,-0.1992643581703305
13,13,13,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.2728432086719418,13,93fc9d67,1024.0,Adagrad,0.3005018100260888,2.0,256.0,xavier_uniform_,0.0025076897422075,-0.7388112689561117,,True,0.0020209277293859,4.368898995308019e-09,-0.2153110029175877,0.0331265460699796,-0.0556810470297932
14,14,14,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,360,,,,mean_reciprocal_rank_filtered_with_test,0.1713797989957584,14,964d1685,128.0,Adam,0.0003908421904367,8.0,16.0,uniform_,0.6788224835688408,-0.2434017872369754,lp,False,1.561875037221311e-16,1.0971976112850113e-13,0.4112670291215181,-0.2063137935474515,0.1774181177839636
15,15,15,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2579190948460222,15,1ecad40f,1024.0,Adam,0.0008425638908237,7.0,64.0,uniform_,0.0115031397506051,-0.8210109154692664,,True,0.0568489349337673,4.5675949417260555e-16,-0.3486282909289002,-0.0053682709112763,0.1015755387023091
16,16,16,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,340,,,,mean_reciprocal_rank_filtered_with_test,0.2696371765397776,16,4ea022bb,128.0,Adagrad,0.6571797393137374,3.0,128.0,xavier_normal_,2.149381197447144e-05,-0.317391691286303,lp,False,2.225834535129237e-17,0.0575759774288077,0.0289593245834112,0.2420320827513933,-0.2792524745687842
17,17,17,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1225387116392215,17,a4c5ebe6,512.0,Adagrad,0.0075057562200479,0.0,16.0,uniform_,0.1330211635770881,-0.0205103450410626,lp,False,3.6946893385029545e-11,2.771418429384556e-10,0.4051952753216028,-0.2986875018104911,-0.1262781327590346
18,18,18,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.1577440264560165,18,95fb7a51,256.0,Adam,0.1014769837409061,10.0,256.0,xavier_uniform_,0.0007029512558295,-0.5246936619411968,lp,True,1.0739943996492583e-14,6.988763069147454e-15,-0.2262680726125836,0.4408688880503177,0.2474475966766476
19,19,19,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0007315454300836,19,a176e40e,512.0,Adagrad,0.0008007784844643,1.0,512.0,normal_,0.4423571072743475,-0.4053671694223303,,True,1.5997929573924545e-18,6.20584797475819e-19,0.187364456243813,-0.3790332078933716,0.1520107615739107
20,20,20,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.0873034413873146,20,150ee3bb,256.0,Adam,0.1966184610109056,9.0,32.0,uniform_,0.0007637343410039,-0.893193704854073,lp,False,1.4065681251934102e-05,0.0001556162241087,-0.4438672699034214,0.3657580511644482,-0.0671693880110979
21,21,21,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.2657726956800684,21,a440985b,1024.0,Adam,0.0055294803633546,5.0,256.0,xavier_uniform_,0.0147932181645647,-0.6907971734863426,lp,False,1.850160322865199e-13,4.404247525628396e-08,-0.0681501328945159,-0.1723829451948404,-0.2213156316429376
22,22,22,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2402646715497576,22,5eb1af98,128.0,Adagrad,0.023497901117302,5.0,64.0,xavier_normal_,8.653062982012823e-05,-0.2020708553349878,lp,True,1.2060905758055428e-07,5.525429286098523e-13,0.3091448256745934,0.0646253703162074,0.0049667838960886
23,23,23,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0405183738271225,23,b1186fe3,512.0,Adam,0.2301003943930296,3.0,64.0,normal_,0.0001321713252623,-0.0755754132128133,lp,False,7.146825485003628e-05,4.357982430393227e-06,-0.3799794679507613,-0.0818191161379218,0.1286176851019263
24,24,24,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0010398900641448,24,4fe7314c,256.0,Adagrad,0.0003401462409039,8.0,256.0,uniform_,0.0340247464284483,-0.5633250594216958,,True,2.0544908573824474e-20,3.424012202221449e-20,0.2463379725813865,0.1575942523777485,-0.2497871847823262
25,25,25,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2003023946526589,25,f6d815d1,1024.0,Adagrad,0.0333403143940162,9.0,32.0,normal_,0.0021057305132385,-0.7667629592015408,lp,True,3.9841867298817184e-08,7.114538250544054e-12,0.3740692771971226,-0.3509979778900742,-0.0945400105789303
26,26,26,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3245101315226689,26,7a6ea971,128.0,Adam,0.0028447561401542,0.0,512.0,xavier_uniform_,0.8076958433549848,-0.2779599902435206,lp,False,8.675156461344362e-12,2.8477450855822057e-07,-0.0061849309131503,0.3962555397301912,0.2722169822081923
27,27,27,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,235,,,,mean_reciprocal_rank_filtered_with_test,0.2954209605342885,27,22e594ec,1024.0,Adagrad,0.5983689185625316,8.0,512.0,normal_,0.0002554264585592,-0.6511290567095298,lp,False,8.041945373137832e-17,0.0008096047643225,0.0920255361124873,-0.4556518588215112,0.2189676113426685
28,28,28,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.2239148377352438,28,49b29ecc,128.0,Adam,0.0021136064311705,2.0,16.0,xavier_uniform_,0.0727312568949492,-0.1479224117518681,,True,0.0010267507964728,3.259272111272932e-18,-0.2884622048586607,0.2814880339428782,-0.0026188015937805
29,29,29,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2091050878154405,29,e73ecd2c,512.0,Adam,0.0671361618668408,4.0,128.0,uniform_,1.4087762845303692e-05,-0.4438843916222359,lp,True,2.5194037981914803e-15,1.1514156947268204e-14,-0.1603341568261385,-0.2248002141714096,-0.1590378060936927
30,30,30,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1775984164483532,30,b9c63806,256.0,Adagrad,0.0136951465050373,6.0,32.0,xavier_normal_,0.0049964842818107,-0.9484800493314768,lp,False,2.439652653790932e-09,9.094532065849839e-10,0.4662778517231345,0.0201188074424862,0.0741964660584926
31,31,31,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2570599871685201,31,ebc11606,1024.0,Adam,0.0395202327199872,2.0,512.0,xavier_uniform_,0.097406264300558,-0.1842650528763327,lp,True,7.422981010974158e-15,6.286449797460637e-11,0.3770785732194781,0.1250646132975816,-0.1922720119357109
32,32,32,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1855372820207798,32,47725e7b,128.0,Adagrad,0.0029722357372892,8.0,32.0,xavier_normal_,0.0001903127355567,-0.6729607345466408,,False,6.0029839763368086e-09,1.5765052894891553e-15,-0.2455814089626073,-0.1120336139574647,0.0339310102164745
33,33,33,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,340,,,,mean_reciprocal_rank_filtered_with_test,0.3067757063997006,33,f6595299,512.0,Adagrad,0.3516234321235992,6.0,128.0,normal_,0.0037251592976629,-0.9696251183292548,lp,False,6.371330188401817e-17,1.1079429535429172e-16,-0.367392310872674,0.4264700450003147,0.1798740305006503
34,34,34,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.2403485996756487,34,f80ef51b,256.0,Adam,0.0004576936027343,4.0,64.0,xavier_normal_,1.882678687780821e-05,-0.4817681848326605,lp,True,0.000694016943246,0.0138987411379453,0.0013919388875365,-0.318468346260488,-0.0393686324357986
35,35,35,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2382292056511976,35,db18e2e6,512.0,Adagrad,0.0548681872228774,7.0,32.0,uniform_,0.0499426780403985,-0.6045429988109321,lp,True,8.352329228775116e-08,1.2346597989410735e-08,-0.0869227340444922,0.2512777643278241,-0.1348054664209485
36,36,36,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2986749714856002,36,0ce410f6,256.0,Adam,0.0126996856571531,2.0,128.0,xavier_normal_,9.02237736804137e-05,-0.1003292838459462,,False,3.0001758136911723e-11,1.5564575600742237e-13,0.2815974652767181,-0.4881857335567474,0.2389827763661742
37,37,37,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0049014541543308,37,6365732a,1024.0,Adam,0.3793316789807781,1.0,16.0,normal_,0.5525454157213774,-0.3039803575060702,lp,False,4.028742607757911e-05,1.6966504490594176e-19,0.1592677794396877,0.0526526747271418,0.0918678542599081
38,38,38,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0083137357748231,38,da10bd4d,128.0,Adagrad,0.0015218884642735,10.0,512.0,uniform_,0.0030887805989885,-0.8075689452079869,lp,True,1.9518185485057003e-20,4.2781337055711537e-05,-0.4631891874596476,-0.1945899371057748,-0.2888807656243443
39,39,39,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,295,,,,mean_reciprocal_rank_filtered_with_test,0.2882960641217565,39,ede33c87,512.0,Adam,0.0089729269010472,9.0,256.0,xavier_uniform_,0.0011706865410067,-0.93113200596706,,False,3.8540201118783513e-13,3.136048564075068e-11,0.3474403070285916,0.2096245475113392,-0.1869095508009195
40,40,40,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,275,,,,mean_reciprocal_rank_filtered_with_test,0.2324272492960507,40,43201bd2,256.0,Adagrad,0.1068066240649383,1.0,16.0,xavier_normal_,0.2880174485485942,-0.4265667463226709,lp,True,4.245443730533234e-07,1.2626023239592551e-06,-0.0259941779077053,-0.0352165987715125,0.0464041147381067
41,41,41,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.1466414269674935,41,44bdb305,1024.0,Adagrad,0.0012972031766386,5.0,128.0,normal_,5.637612221263541e-05,-0.2238350315869133,lp,True,9.14838252555016e-19,1.796273325552198e-05,-0.4002159610390663,0.4707172084599733,0.1899324674159288
42,42,42,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0198255414394425,42,8f7917c8,128.0,Adam,0.8917180548942409,5.0,64.0,xavier_uniform_,0.0226270614311803,-0.7270723130256217,lp,False,1.3304619040111526e-05,1.4186798315549882e-19,0.2192817563191056,-0.2662799591198563,-0.0315914321690797
43,43,43,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1610083822310735,43,19d7eb36,1024.0,Adagrad,0.0044813876721933,3.0,64.0,uniform_,3.0164621918249543e-05,-0.3582670862074941,,False,1.0846084365618159e-10,4.1080885313689256e-14,-0.1805639723315835,0.3359139589592814,-0.0848408019170165
44,44,44,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2532535375677217,44,ef0ec6e0,128.0,Adam,0.0216276317344418,7.0,256.0,xavier_normal_,0.0082142697154126,-0.847100691646561,lp,True,2.682708161589728e-14,3.227943040111943e-09,0.4391958843916654,-0.4114449713379144,0.2818536775186658
45,45,45,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1943504035455873,45,0c6b19c7,512.0,Adam,0.0005039317623874,10.0,16.0,xavier_uniform_,0.0005030548668497,-0.5493949320013263,lp,True,0.0458134824178829,0.0029617090975273,0.0653708148747682,0.0970371412113308,0.1371534945443272
46,46,46,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.2682961086755061,46,1d0f025a,256.0,Adagrad,0.1403766271270077,0.0,512.0,xavier_normal_,0.1865569068236,-0.0616756838572956,lp,False,1.4940419686962632e-17,1.1853880701906056e-17,-0.3082647742703557,-0.1425388604402542,-0.2413307687267661
47,47,47,fec061a3,fb15k-237,cp,0,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2967821611241802,47,53ad5d53,512.0,Adagrad,0.5104572500519929,4.0,256.0,xavier_normal_,0.0292852734544338,-0.8893433447728585,lp,True,0.0054307400111418,2.838676678963539e-15,0.4945840444415808,-0.0701030828058719,-0.0142436983063817
48,48,48,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.2945591517857143,48,29afa483,256.0,Adam,0.0018009867585521,6.0,64.0,uniform_,0.0001539466796401,-0.3780338870147894,lp,False,5.052603662431566e-16,2.239307600541876e-10,-0.1281029963865876,0.1771282339468598,0.2118242165073752
49,49,49,fec061a3,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,175,,,,mean_reciprocal_rank_filtered_with_test,0.218319499394069,49,600938a7,1024.0,Adam,0.0787618711845616,8.0,512.0,xavier_normal_,0.9529470951957912,-0.2059681908571068,,False,7.69205610199862e-10,0.0426331674842163,-0.250371684320271,-0.3627223130315542,0.0577696239575743
